quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.696147, 95942, 3302.61, 9.73979e+08, 349.682, 44718, 22.728, 4787.11
2,0.696622, 95949, 3299.36, 9.73022e+08, 349.169, 44718, 22.7344, 4783.6
3,0.708234, 95977, 3223.16, 9.5055e+08, 323.251, 42919, 23.0693, 4602.63
4,0.734155, 95017, 2770.61, 8.17087e+08, 259.591, 41634, 24.0218, 4124.6
5,0.745418, 94904, 2519.31, 7.42974e+08, 219.834, 38550, 24.7438, 3795.63
6,0.765466, 94363, 2290.14, 6.7539e+08, 189.504, 35466, 25.3886, 3524.08
7,0.783094, 92995, 2051.69, 6.05067e+08, 165.198, 33153, 25.9847, 3290.33
8,0.798283, 92530, 1919.65, 5.66128e+08, 149.883, 32639, 26.4072, 3134.1
9,0.809361, 92126, 1823.78, 5.37856e+08, 138.073, 32125, 26.7636, 3008.09
10,0.821794, 91330, 1738.25, 5.12629e+08, 128.597, 33410, 27.0724, 2903.04
11,0.831600, 90303, 1659.4, 4.89376e+08, 120.47, 30840, 27.3559, 2809.81
12,0.838306, 90193, 1605.72, 4.73546e+08, 113.886, 31354, 27.6, 2731.94
13,0.845346, 89723, 1550.38, 4.57227e+08, 107.765, 31097, 27.8399, 2657.52
14,0.852692, 88920, 1500.22, 4.42434e+08, 102.819, 30069, 28.044, 2595.81
15,0.858294, 88314, 1453.14, 4.28547e+08, 97.9021, 28784, 28.2568, 2532.98
16,0.864240, 88718, 1424.34, 4.20056e+08, 93.8175, 29298, 28.4419, 2479.58
17,0.868508, 88320, 1389.07, 4.09654e+08, 90.0535, 26471, 28.6197, 2429.33
18,0.872951, 87679, 1354.15, 3.99355e+08, 86.4258, 25957, 28.7983, 2379.9
19,0.877261, 87368, 1326.69, 3.91256e+08, 83.696, 28270, 28.9377, 2342.01
20,0.881262, 86981, 1297.25, 3.82575e+08, 80.8231, 28270, 29.0894, 2301.47
21,0.885475, 86204, 1269.32, 3.74337e+08, 78.0082, 25957, 29.2433, 2261.03
22,0.888927, 85127, 1241.15, 3.66031e+08, 75.3939, 28784, 29.3914, 2222.82
23,0.891715, 84826, 1222.8, 3.60618e+08, 73.0888, 26471, 29.5262, 2188.58
24,0.894967, 84793, 1200.84, 3.54141e+08, 70.6911, 26728, 29.6711, 2152.38
25,0.897075, 84531, 1184.99, 3.49469e+08, 68.8634, 25957, 29.7848, 2124.37
26,0.899848, 84019, 1163.17, 3.43034e+08, 66.7019, 26728, 29.9234, 2090.77
27,0.902054, 83706, 1144.72, 3.37592e+08, 64.5805, 22359, 30.0637, 2057.25
28,0.904519, 82931, 1121.16, 3.30644e+08, 62.3281, 22873, 30.2179, 2021.06
29,0.906538, 82921, 1108.94, 3.2704e+08, 60.6804, 21845, 30.3342, 1994.16
30,0.908531, 82762, 1091.8, 3.21986e+08, 58.822, 22359, 30.4693, 1963.39
31,0.910640, 82804, 1079.49, 3.18356e+08, 57.2638, 23901, 30.5859, 1937.21
32,0.912412, 82404, 1064.63, 3.13973e+08, 55.6199, 19275, 30.7124, 1909.2
33,0.914853, 81979, 1045.19, 3.0824e+08, 53.8156, 18504, 30.8557, 1877.98
34,0.915833, 81996, 1037.69, 3.06026e+08, 52.5747, 17990, 30.957, 1856.2
35,0.917633, 81060, 1020.67, 3.01007e+08, 51.0043, 19532, 31.0887, 1828.27
36,0.919054, 81189, 1005.7, 2.96594e+08, 49.5506, 19275, 31.2142, 1802.03
37,0.920102, 81148, 998.029, 2.94331e+08, 48.6292, 18247, 31.2958, 1785.19
38,0.922077, 80607, 982.184, 2.89658e+08, 47.2111, 16448, 31.4243, 1758.97
39,0.923497, 80658, 974.113, 2.87278e+08, 46.2401, 16191, 31.5145, 1740.79
40,0.924391, 80658, 967.661, 2.85375e+08, 45.4131, 15934, 31.5929, 1725.15
41,0.926569, 79572, 945.646, 2.78882e+08, 43.8761, 16448, 31.7425, 1695.71
42,0.927150, 79465, 939.677, 2.77122e+08, 43.2687, 16705, 31.803, 1683.93
43,0.928022, 79340, 931.86, 2.74817e+08, 42.2067, 19018, 31.9109, 1663.13
44,0.929403, 78993, 919.047, 2.71038e+08, 41.0814, 15934, 32.0283, 1640.81
45,0.930223, 79018, 912.336, 2.69059e+08, 40.3177, 15934, 32.1098, 1625.49
46,0.931720, 78989, 900.907, 2.65688e+08, 39.2322, 14906, 32.2283, 1603.46
47,0.932571, 78974, 893.236, 2.63426e+08, 38.4733, 14906, 32.3131, 1587.87
48,0.933281, 78659, 885.317, 2.61091e+08, 37.7369, 15677, 32.3971, 1572.61
49,0.935245, 77443, 868.183, 2.56038e+08, 36.8674, 15934, 32.4983, 1554.38
50,0.936019, 77408, 863.108, 2.54541e+08, 36.2562, 15420, 32.5709, 1541.44
51,0.936766, 77391, 857.608, 2.52919e+08, 35.6341, 14906, 32.6461, 1528.16
52,0.937839, 77590, 849.161, 2.50428e+08, 34.8182, 14649, 32.7467, 1510.57
53,0.938908, 77405, 840.523, 2.4788e+08, 34.0797, 14649, 32.8398, 1494.46
54,0.939696, 77366, 832.745, 2.45587e+08, 33.3012, 13878, 32.9401, 1477.29
55,0.940294, 76746, 823.961, 2.42996e+08, 32.5939, 14392, 33.0334, 1461.52
56,0.941187, 76648, 816.495, 2.40794e+08, 31.8214, 13621, 33.1375, 1444.1
57,0.942222, 76369, 806.709, 2.37908e+08, 31.0941, 14135, 33.238, 1427.5
58,0.943202, 76350, 796.814, 2.3499e+08, 30.2883, 14135, 33.352, 1408.88
59,0.943869, 76298, 789.881, 2.32945e+08, 29.5985, 13878, 33.452, 1392.74
60,0.944669, 76269, 781.721, 2.30539e+08, 28.8717, 13621, 33.56, 1375.54
61,0.946195, 75356, 768.804, 2.2673e+08, 28.0077, 13107, 33.692, 1354.8
62,0.947110, 75124, 759.16, 2.23885e+08, 27.268, 13364, 33.8082, 1336.79
63,0.948159, 75060, 750.917, 2.21454e+08, 26.4831, 12850, 33.9351, 1317.41
64,0.949089, 75129, 743.704, 2.19327e+08, 25.7705, 12593, 34.0535, 1299.56
65,0.950399, 74531, 730.601, 2.15463e+08, 24.9604, 11565, 34.1922, 1278.98
66,0.951367, 74393, 720.742, 2.12555e+08, 24.1338, 11308, 34.3385, 1257.62
67,0.952269, 74252, 710.705, 2.09596e+08, 23.3736, 11308, 34.4775, 1237.66
68,0.953382, 73974, 697.856, 2.05806e+08, 22.5387, 11565, 34.6354, 1215.35
69,0.954346, 73336, 686.303, 2.02399e+08, 21.7797, 11565, 34.7842, 1194.71
70,0.955735, 73108, 673.849, 1.98726e+08, 20.8887, 10280, 34.9656, 1170.02
71,0.957181, 72697, 661.352, 1.95041e+08, 20.0601, 10537, 35.1414, 1146.58
72,0.958175, 72732, 651.488, 1.92132e+08, 19.3183, 11308, 35.305, 1125.18
73,0.959523, 72350, 639.627, 1.88634e+08, 18.5259, 10023, 35.4869, 1101.86
74,0.960966, 71292, 621.949, 1.8342e+08, 17.5812, 10023, 35.7142, 1073.4
75,0.961435, 71257, 613.149, 1.80825e+08, 16.9446, 10023, 35.8744, 1053.79
76,0.962671, 71241, 600.009, 1.7695e+08, 15.9917, 10280, 36.1258, 1023.73
77,0.964258, 70718, 583.821, 1.72176e+08, 15.0801, 8995, 36.3807, 994.12
78,0.965608, 70331, 569.366, 1.67913e+08, 14.3079, 8224, 36.609, 968.333
79,0.966580, 70223, 557.748, 1.64487e+08, 13.5841, 7710, 36.8344, 943.523
80,0.967898, 69814, 542.136, 1.59882e+08, 12.7731, 8995, 37.1018, 914.923
81,0.969583, 69383, 525.785, 1.5506e+08, 11.9172, 7196, 37.403, 883.738
82,0.970684, 68708, 510.173, 1.50456e+08, 11.1596, 7967, 37.6882, 855.188
83,0.972141, 67927, 493.085, 1.45417e+08, 10.3868, 6682, 37.9999, 825.043
84,0.973548, 67742, 477.912, 1.40942e+08, 9.64652, 6168, 38.321, 795.101
85,0.975146, 67569, 461.462, 1.36091e+08, 8.83661, 6425, 38.7019, 760.991
86,0.976704, 66454, 440.213, 1.29824e+08, 7.99734, 7196, 39.1353, 723.951
87,0.978211, 66114, 422.454, 1.24587e+08, 7.26433, 5654, 39.5528, 689.977
88,0.980158, 65061, 399.597, 1.17846e+08, 6.44684, 5911, 40.0713, 649.995
89,0.981585, 64529, 380.556, 1.12231e+08, 5.75555, 5911, 40.5639, 614.158
90,0.983454, 63302, 355.553, 1.04857e+08, 4.96826, 5911, 41.2027, 570.609
91,0.984892, 62520, 334.157, 9.85469e+07, 4.33202, 3855, 41.7978, 532.822
92,0.986643, 61473, 307.373, 9.0648e+07, 3.59766, 3598, 42.6045, 485.564
93,0.988474, 59403, 279.167, 8.23297e+07, 2.95071, 3084, 43.4655, 439.744
94,0.990218, 57657, 250.03, 7.37369e+07, 2.32715, 2827, 44.4965, 390.525
95,0.991982, 55119, 219.291, 6.46715e+07, 1.76629, 2056, 45.6941, 340.226
96,0.993656, 51677, 183.451, 5.41018e+07, 1.225, 1799, 47.2834, 283.338
97,0.995214, 46519, 146.834, 4.33032e+07, 0.805186, 1285, 49.1058, 229.713
98,0.996576, 38084, 106.194, 3.1318e+07, 0.469843, 1028, 51.4452, 175.474
99,0.998204, 19940, 52.1822, 1.53892e+07, 0.205046, 514, 55.0462, 115.921
100,0.999118, 9209, 24.0754, 7.10014e+06, 0.0944135, 257, 58.4144, 78.66

